SampleID,plot,block,rep,block.loc,plot.ed,var,treatment,name,loc,Number_of_plants_harvested,Total_plant_biomass_Kg,Yield_cwt_per_acre,hundred_seed_weght_g,Seed_tot_weight_g,Seed_moisture_percent,PD_norm,SR_norm,SHA_norm,EVE_norm,SIM_norm,INSIM_norm,PD,SR,SHA,EVE,SIM,INSIM,PD_rare,SR_rare,SHA_rare,EVE_rare,SIM_rare,INSIM_rare
303,303,3,3,3UP,2,Cayenne,shelter,Cayenne_Rainout,UP,41,1.16,21.81,40.2,596.2,20,5.935932436,55,2.813327397,0.702044793,0.903923497,10.40837215,5.935932436,55,2.813327397,0.702044793,0.903923497,10.40837215,4.993315126,51,2.827273557,0.719073993,0.907973254,10.86640619
304,304,3,3,3UP,2,Cayenne,open,Cayenne,UP,58,1.54,32.97,40,901.2,20,4.092025457,33,2.579127323,0.737629557,0.890582871,9.139336859,4.092025457,33,2.579127323,0.737629557,0.890582871,9.139336859,4.092025457,33,2.57983086,0.737830768,0.889566579,9.055229746
305,305,3,3,3UP,3,R99,shelter,R99_Rainout,UP,14,0.72,11.07,24.2,311,22.2,5.008086551,41,2.634292404,0.709368865,0.89694987,9.704014919,5.008086551,41,2.634292404,0.709368865,0.89694987,9.704014919,4.915189251,38,2.631117021,0.723314007,0.899172945,9.917972889
306,306,3,3,3UP,3,R99,open,R99,UP,19,0.88,15.48,25.2,440.8,23.2,7.395768599,72,3.069354306,0.717697903,0.908707819,10.95384059,7.395768599,72,3.069354306,0.717697903,0.908707819,10.95384059,7.326011314,70,3.04707578,0.717212944,0.908695316,10.9523406
307,307,3,3,3UP,4,Rosetta,shelter,Rosetta_Rainout,UP,24,0.87,15.48,39.8,427.4,20.8,4.820758582,34,2.610720862,0.740344285,0.894985822,9.522523739,4.820758582,34,2.610720862,0.740344285,0.894985822,9.522523739,4.379235977,33,2.641060228,0.755342347,0.897587357,9.764419376
308,308,3,3,3UP,4,Rosetta,open,Rosetta,UP,38,1.54,30.28,42.2,847.7,21.9,3.044762137,27,2.419323295,0.734054322,0.872995305,7.873724696,3.044762137,27,2.419323295,0.734054322,0.872995305,7.873724696,3.029412308,26,2.405939125,0.738449305,0.871768498,7.798395762
401,401,4,4,4UP,1,Rosetta,shelter,Rosetta_Rainout,UP,32,1.99,35.47,43.6,1028.7,24.6,5.423588047,45,2.676451099,0.703096507,0.895535601,9.572639183,5.423588047,45,2.676451099,0.703096507,0.895535601,9.572639183,5.24728061,42,2.648292572,0.708541108,0.894049255,9.438347972
403,403,4,4,4UP,2,R99,shelter,R99_Rainout,UP,14,1.18,15.48,24.9,453.8,25.4,4.249791306,34,2.62632385,0.744768957,0.89693184,9.702317379,4.249791306,34,2.62632385,0.744768957,0.89693184,9.702317379,4.249791306,34,2.611356311,0.740524485,0.894663744,9.493407477
404,404,4,4,4UP,2,R99,open,R99,UP,4,0.36,3.3,25.2,92.9,22.4,3.94494016,35,2.591736454,0.728968418,0.892839485,9.33179536,3.94494016,35,2.591736454,0.728968418,0.892839485,9.33179536,3.834357207,31,2.588796628,0.753874861,0.89280112,9.328455665
405,405,4,4,4UP,3,Cayenne,shelter,Cayenne_Rainout,UP,35,0.97,17.23,36.6,473.8,20.5,5.287333935,45,2.713067805,0.712715617,0.900700343,10.07052823,5.287333935,45,2.713067805,0.712715617,0.900700343,10.07052823,5.264532366,43,2.703257142,0.718721966,0.899766804,9.976734613
406,406,4,4,4UP,3,Cayenne,open,Cayenne,UP,50,1.53,30.06,42.1,819.7,19.8,9.475271801,141,2.332833981,0.47139769,0.704931351,3.389041852,9.475271801,141,2.332833981,0.47139769,0.704931351,3.389041852,4.721473906,67,2.276368914,0.541387711,0.707660115,3.420675906
407,407,4,4,4UP,4,B18504,shelter,B18504_Rainout,UP,44,1.68,25.72,24.7,708.2,20.6,4.584160705,40,2.631413445,0.713336794,0.893783914,9.414769831,4.584160705,40,2.631413445,0.713336794,0.893783914,9.414769831,4.090175761,37,2.604719366,0.721345494,0.890167806,9.104798513
408,408,4,4,4UP,4,B18504,open,B18504,UP,58,1.82,28.24,26.3,790.7,21.9,7.06333046,68,2.87465617,0.681277621,0.908401309,10.91718662,7.06333046,68,2.87465617,0.681277621,0.908401309,10.91718662,6.374534775,58,2.848923632,0.701628769,0.909118238,11.00330774
