"","OTUID","Occ.bio.nc.unfil","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"284","KU714901.1.1529",0.0704225352112676,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"295","KY777463.1.1542",0.0704225352112676,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus luteus","Micrococcus","Micrococcaceae"
"39","AY491606.1.1607",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured","uncultured bacterium","f_Burkholderiaceae","Burkholderiaceae"
"52","CATO01000049.63.1649",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella",NA,"Salmonella","Enterobacteriaceae"
"72","DQ535028.1.1539",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax",NA,"Rhodoferax","Burkholderiaceae"
"81","EF364387.1.1474",0.0563380281690141,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea",NA,"Bosea","Beijerinckiaceae"
"225","JN868968.1.1503",0.0563380281690141,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","uncultured bacterium","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobiaceae"
"242","KC620696.1.1489",0.0563380281690141,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","uncultured bacterium","Methylobacterium","Beijerinckiaceae"
"268","KM232740.1.1520",0.0563380281690141,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured bacterium","Flavobacterium","Flavobacteriaceae"
"278","KT003266.1.1254",0.0563380281690141,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"321","MTIS01000005.1947007.1948557",0.0563380281690141,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus alkalitelluris","Bacillus","Bacillaceae"
"3","AB365066.1.1533",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","uncultured bacterium","Acinetobacter","Moraxellaceae"
"8","AB696297.1.1439",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"29","APMI01074565.1093.2594",0.0422535211267606,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"Pedobacter","Sphingobacteriaceae"
"56","CP007799.5360909.5362333",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"63","CVJT01000011.50.2173",0.0422535211267606,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","Staphylococcus","Staphylococcaceae"
"64","DQ234192.1.1572",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"69","DQ490464.1.1485",0.0422535211267606,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"Pedobacter","Sphingobacteriaceae"
"74","DQ819169.1.1447",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"111","FLTE01001368.534.2052",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Janthinobacterium",NA,"Janthinobacterium","Burkholderiaceae"
"120","FPLK01000283.11.1521",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter",NA,"Ramlibacter","Burkholderiaceae"
"153","GAYR01026362.62.2014",0.0422535211267606,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Solanum melongena (eggplant)","Solanum melongena (eggplant)","Mitochondria","Mitochondria"
"224","JN868839.1.1481",0.0422535211267606,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"Brevundimonas","Caulobacteraceae"
"232","JQNF01000007.278620.280162",0.0422535211267606,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA,"Carnobacterium","Carnobacteriaceae"
