"","OTUID","NC1r2","NC2r2","NC3r2","NC4r2","NC5r2","NC6r2","NC7r2","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"26","DQ298777.1.1540",0,0,137,0,0,573,1160,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Stenotrophomonas","Xanthomonadaceae"
"27","DQ532277.1.1514",0,0,0,0,0,42,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","uncultured bacterium","Lysobacter","Xanthomonadaceae"
"28","DQ535028.1.1539",0,0,0,0,0,2,4,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax",NA,"Rhodoferax","Burkholderiaceae"
"29","DQ629536.1.1284",0,0,0,0,0,1,3,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"30","EF064168.1.1513",3,0,2,2,2,1,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium","uncultured bacterium","Aquabacterium","Burkholderiaceae"
"31","EF101305.1.1542",0,0,450,1,0,4127,6455,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"32","EF364387.1.1474",0,0,0,0,0,0,40,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea",NA,"Bosea","Beijerinckiaceae"
"33","EF517956.1.1666",0,0,0,0,0,726,981,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. IGCAR-9/07","Acinetobacter","Moraxellaceae"
"34","EF528273.1.1512",5,0,107,0,0,0,857,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"35","EU458616.1.1401",75,0,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group","uncultured bacterium","Rikenellaceae RC9 gut group","Rikenellaceae"
"36","EU771744.1.1413",1,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"37","FJ184323.1.1507",0,0,0,0,0,0,5,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Stenotrophomonas","Xanthomonadaceae"
"38","FJ439860.1.1500",0,0,0,0,13,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","uncultured bacterium","Bradyrhizobium","Xanthobacteraceae"
"39","FJ901047.1.1308",0,0,0,0,0,0,58,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured bacterium","Pseudomonas","Pseudomonadaceae"
"40","FPID01000096.6.1486",12,0,9,0,0,17,219,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","metagenome","Pseudomonas","Pseudomonadaceae"
"41","FPLK01000283.11.1521",0,0,0,0,0,36,23,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter",NA,"Ramlibacter","Burkholderiaceae"
"42","FPLL01000300.16.1523",0,0,0,0,0,0,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
"43","FPLN01008484.58.1586",1,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"44","FPLS01033822.31.1498",0,0,2,0,0,8,144,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"f_Rhizobiaceae","Rhizobiaceae"
"45","FPLS01038376.19.1499",0,25,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA,"Microvirga","Beijerinckiaceae"
"46","FR746074.1.1400",0,36,14,0,0,28,51,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"47","GAOK01049512.6271.8188",805,133,65,17,31,218,1825,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Cercis gigantea","Cercis gigantea","Cercis gigantea","Cercis gigantea","Cercis gigantea"
"48","GAYR01026362.62.2014",0,0,0,0,0,9,10,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Solanum melongena (eggplant)","Solanum melongena (eggplant)","Mitochondria","Mitochondria"
"49","GBTV01025760.129.1889",0,0,0,0,0,109,38,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides"
"50","GCVR01032299.115.1608",1,1,0,0,0,2,8,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"51","GDAH01000844.40.1969",0,1,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"52","GDAX01048398.486.2474",6,3,0,0,0,2,24,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"53","GEFP01046751.99.1466",1,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Arachis hypogaea (peanut)","Arachis hypogaea (peanut)","Mitochondria","Mitochondria"
"54","GEXO01005455.1.1513",0,0,0,0,0,0,37,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Malaclemys terrapin terrapin","Escherichia-Shigella","Enterobacteriaceae"
"55","GQ280051.1.1425",0,0,0,0,0,0,4,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"56","GQ388901.1.1482",0,0,0,0,0,0,8,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured bacterium","Sphingomonas","Sphingomonadaceae"
"57","GQ483458.1.1495",0,0,59,0,0,829,1176,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobiaceae"
"58","GQ853416.1.1513",0,0,0,0,0,0,4,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Pantoea","Enterobacteriaceae"
"59","HAEP01038523.44.1571",144,5,149,25,10,37,43,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
"60","HAFQ01034884.73.1567",0,0,0,0,11,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Spumella sp. AR4D6","Pseudomonas","Pseudomonadaceae"
"61","HF570082.1.1509",0,0,52,0,0,0,33,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium",NA,"Methylobacterium","Beijerinckiaceae"
"62","HG780372.1.1269",0,0,0,0,0,5,44,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas stutzeri","Pseudomonas","Pseudomonadaceae"
"63","HO793511.1.1233",8,3,0,0,0,1,32,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"64","HQ121087.1.1522",0,0,0,0,0,0,11,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
"65","HQ121200.1.1459",0,0,77,0,0,87,223,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,"f_Caulobacteraceae","Caulobacteraceae"
"66","HQ183518.1.1491",1,0,0,0,0,0,0,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"67","HQ218547.1.1480",0,0,0,0,0,62,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia","uncultured bacterium","Kaistia","Kaistiaceae"
"68","HQ455824.1.1542",3,2,1,0,0,0,6,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Pantoea","Enterobacteriaceae"
"69","HQ682006.1.1451",0,0,0,0,0,118,207,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","uncultured bacterium","Brevundimonas","Caulobacteraceae"
"70","JN082536.1.1536",0,0,0,0,0,26,73,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Acinetobacter","Moraxellaceae"
"71","JN868813.1.1537",0,0,9,0,0,38,27,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Stenotrophomonas","Xanthomonadaceae"
"72","JN868968.1.1503",0,0,0,0,0,1,3,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","uncultured bacterium","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobiaceae"
"73","JOGX01000016.105867.107365",691,27,487,31,1,114,3605,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"74","JRJC01000023.11.1813",0,0,2,0,0,0,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter",NA,"Enterobacter","Enterobacteriaceae"
"75","JUOP01000215.81.1657",1,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcus","Enterococcaceae"
"76","KC683027.1.1557",0,0,0,0,0,0,45,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus","Trichococcus collinsii","Trichococcus","Carnobacteriaceae"
"77","KC858869.1.1562",2,2,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"78","KF026285.1.1556",0,0,0,0,0,6,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae"
"79","KF037529.1.1462",0,0,0,0,0,20,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured bacterium","Sphingomonas","Sphingomonadaceae"
"80","KF061569.1.1375",0,0,0,0,0,0,4,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcus","Staphylococcaceae"
"81","KF625186.1.1741",50,0,156,0,0,0,487,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica","Raoultella","Enterobacteriaceae"
"82","KJ013374.1.1531",17,1,6,0,0,2,65,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"83","KJ161326.1.1708",0,0,69,0,0,1616,2585,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"84","KM232740.1.1520",0,0,35,0,0,0,89,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured bacterium","Flavobacterium","Flavobacteriaceae"
"85","KP096372.1.1487",2,0,1,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillus","Bacillaceae"
"86","KP986565.1.1538",0,2,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA,"Microbacterium","Microbacteriaceae"
"87","KR026982.1.1447",10,0,7,0,0,91,344,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"88","KR088549.1.1526",0,0,18,0,36,0,43,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. F7","Arthrobacter","Micrococcaceae"
"89","KU714901.1.1529",6,0,6,1,0,0,19,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"90","KU726283.1.1457",0,0,0,0,0,0,73,"Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales","uncultured bacterium","uncultured bacterium","uncultured bacterium","p_Cyanobacteria","p_Cyanobacteria"
"91","KX146486.1.1489",0,0,58,0,0,0,112,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Arachidicoccus",NA,"Arachidicoccus","Chitinophagaceae"
"92","KY646001.1.1573",370,106,50,0,0,0,60,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"93","KY711182.1.1549",0,0,5,0,0,231,177,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"94","KY777444.1.1555",2,4,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"95","LC140841.1.1508",0,0,5,0,0,43,86,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured Pseudomonas sp.","Pseudomonas","Pseudomonadaceae"
"96","LKHO01000001.198.1803",3,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","Listeria","Listeriaceae"
"97","LN885259.156216.157719",1,0,0,0,0,0,2,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"98","LT605585.1090822.1092349",0,0,1,0,0,29,85,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella",NA,"Brucella","Rhizobiaceae"
"99","MAMN01000047.249174.251307",52,2,1,4,3,2,6,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"100","MTIS01000005.1947007.1948557",1,1,1,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus alkalitelluris","Bacillus","Bacillaceae"
"101","S83568.1.1554",0,0,3,0,0,0,11,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus agnetis","Staphylococcus","Staphylococcaceae"
