"","OTUID","1001r2","1002r2","1003r2","1004r2","1005r2","1006r2","1007r2","1008r2","101r2","102r2","103r2","104r2","105r2","106r2","107r2","108r2","2001r2","2002r2","2003r2","2004r2","2005r2","2006r2","2007r2","2008r2","201r2","202r2","203r2","204r2","205r2","206r2","207r2","208r2","3001r2","3002r2","3003r2","3004r2","3005r2","3006r2","3007r2","3008r2","301r2","302r2","303r2","304r2","305r2","306r2","307r2","308r2","4001r2","4002r2","4003r2","4004r2","4005r2","4006r2","4007r2","4008r2","401r2","402r2","403r2","404r2","405r2","406r2","407r2","408r2","Mock1r2","Mock2r2","Mock3r2","Mock4r2","Mock5r2","Mock6r2","Mock7r2","NC1r2","NC2r2","NC3r2","NC4r2","NC5r2","NC6r2","NC7r2","RTSFNTCr2","ZymoMockDNAr2","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"37","AY357215.644.2502",2,3,4,2,0,1,8,7,2,3,4,4,8,6,3,3,1,2,5,6,1,2,5,4,6,1,2,3,2,6,5,1,3,2,0,0,0,5,2,1,3,1,4,12,3,5,11,6,6,1,1,6,1,2,2,2,1,3,3,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"38","AY491594.1.1631",0,0,0,0,0,0,3,1,5,1,0,0,0,5,0,0,0,1,0,1,1,11,14,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,362,554,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured",NA,"f_Burkholderiaceae","Burkholderiaceae"
"39","AY491606.1.1607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured","uncultured bacterium","f_Burkholderiaceae","Burkholderiaceae"
"40","AY538683.1.1513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,15,10,0,0,0,0,0,0,0,0,18,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus","Staphylococcaceae"
"41","AY773134.1.1507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA,"Comamonas","Burkholderiaceae"
"42","AY773954.1.1486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus casei","Lactobacillus","Lactobacillaceae"
"43","AY803191.1.1542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,21,8,14,40,36,0,0,0,0,0,0,0,0,19,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cronobacter",NA,"Cronobacter","Enterobacteriaceae"
"44","AY856845.1.1538",0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,4,3,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,1,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Stenotrophomonas","Xanthomonadaceae"
"45","AY959011.1.1496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,98,51,15,14,5,7,0,0,0,0,0,0,0,0,65,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"46","AYSH01000012.3236.4783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus",NA,"Vagococcus","Enterococcaceae"
