"","OTUID","ZymoMockDNAr2","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"59","JN866823.1.1445",1,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter","Citrobacter freundii","Citrobacter","Enterobacteriaceae"
"60","JQ805719.1.1575",35,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","uncultured bacterium","Enterococcus","Enterococcaceae"
"61","JQNF01000007.278620.280162",361,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA,"Carnobacterium","Carnobacteriaceae"
"62","JRJC01000023.11.1813",129,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter",NA,"Enterobacter","Enterobacteriaceae"
"63","JUOP01000215.81.1657",9564,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcus","Enterococcaceae"
"64","KC202800.1.1427",11,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus durans","Enterococcus","Enterococcaceae"
"65","KC333895.1.1233",4,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcus","Enterococcaceae"
"66","KC683892.1.1440",8,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillus","Bacillaceae"
"67","KC858869.1.1562",15,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"68","KF026285.1.1556",327,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae"
"69","KF061569.1.1375",23,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcus","Staphylococcaceae"
"70","KF098385.1.1371",1,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcus","Staphylococcaceae"
"71","KF100270.1.1376",208,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila","uncultured bacterium","Fastidiosipila","Ruminococcaceae"
"72","KF105341.1.1391",48,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured bacterium","Lactobacillus","Lactobacillaceae"
"73","KF571466.1.1425",16,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","Listeria","Listeriaceae"
"74","KF625186.1.1741",11882,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica","Raoultella","Enterobacteriaceae"
"75","KF928782.1.1516",25,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella",NA,"Salmonella","Enterobacteriaceae"
"76","KJ161326.1.1708",1,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"77","KM391945.1.1431",1,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"78","KM819156.1.1538",29,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Lactobacillus","Lactobacillaceae"
"79","KM819157.1.1526",86,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured Bacillus sp.","Lactobacillus","Lactobacillaceae"
"80","KP096372.1.1487",165,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillus","Bacillaceae"
"81","KR026982.1.1447",3296,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"82","KT003266.1.1254",316,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"83","KT957300.1.1480",33,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis subsp. hominis","Staphylococcus","Staphylococcaceae"
"84","KU366365.1.1545",11,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Lactobacillus","Lactobacillaceae"
"85","KU978243.1.1517",24,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"86","KY646001.1.1573",15105,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"87","KY777444.1.1555",51,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"88","LC176070.1.1536",35,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae"
"89","LKHO01000001.198.1803",12801,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","Listeria","Listeriaceae"
"90","LN610139.1.2752",4,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus","Staphylococcaceae"
"91","LN833517.1.1512",4,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured Escherichia sp.","Escherichia-Shigella","Enterobacteriaceae"
"92","LN833518.1.1522",54,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured Escherichia sp.","Escherichia-Shigella","Enterobacteriaceae"
"93","LQXD01000001.79025.80958",43,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus",NA,"Anaerobacillus","Bacillaceae"
"94","LT545682.1.1550",9,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae"
"95","MTIS01000005.1947007.1948557",88,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus alkalitelluris","Bacillus","Bacillaceae"
"96","S83568.1.1554",437,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus agnetis","Staphylococcus","Staphylococcaceae"
"97","U92194.1.1550",4,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"98","X92159.1.1489",68,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
